date,rate_ngn_usd,mom_change,mom_pct,rolling_3m,rolling_6m,yoy_pct
2019-01-01,306.9,,,,,
2019-02-01,306.9,0.0,0.0,,,
2019-03-01,306.9,0.0,0.0,306.9,,
2019-04-01,306.9,0.0,0.0,306.9,,
2019-05-01,306.9,0.0,0.0,306.9,,
2019-06-01,306.9,0.0,0.0,306.9,306.9,
2019-07-01,306.9,0.0,0.0,306.9,306.9,
2019-08-01,306.9,0.0,0.0,306.9,306.9,
2019-09-01,306.9,0.0,0.0,306.9,306.9,
2019-10-01,306.9,0.0,0.0,306.9,306.9,
2019-11-01,306.9,0.0,0.0,306.9,306.9,
2019-12-01,306.9,0.0,0.0,306.9,306.9,
2020-01-01,306.9,0.0,0.0,306.9,306.9,0.0
2020-02-01,306.9,0.0,0.0,306.9,306.9,0.0
2020-03-01,360.0,53.10000000000002,17.30205278592376,324.59999999999997,315.75,17.30205278592376
2020-04-01,380.0,20.0,5.555555555555558,348.9666666666667,327.93333333333334,23.818833496252868
2020-05-01,386.0,6.0,1.5789473684210575,375.3333333333333,341.1166666666666,25.773867709351595
2020-06-01,388.0,2.0,0.5181347150259086,384.6666666666667,354.6333333333334,26.425545780384496
2020-07-01,388.0,0.0,0.0,387.3333333333333,368.1499999999999,26.425545780384496
2020-08-01,388.0,0.0,0.0,388.0,381.6666666666667,26.425545780384496
2020-09-01,388.0,0.0,0.0,388.0,386.3333333333333,26.425545780384496
2020-10-01,390.0,2.0,0.5154639175257714,388.6666666666667,388.0,27.077223851417422
2020-11-01,390.0,0.0,0.0,389.3333333333333,388.6666666666667,27.077223851417422
2020-12-01,394.0,4.0,1.025641025641022,391.3333333333333,389.6666666666667,28.380579993483224
2021-01-01,394.0,0.0,0.0,392.6666666666667,390.6666666666667,28.380579993483224
2021-02-01,394.0,0.0,0.0,394.0,391.6666666666667,28.380579993483224
2021-03-01,407.0,13.0,3.2994923857867953,398.3333333333333,394.8333333333333,13.055555555555554
2021-04-01,407.0,0.0,0.0,402.6666666666667,397.6666666666667,7.105263157894748
2021-05-01,407.0,0.0,0.0,407.0,400.5,5.440414507772018
2021-06-01,410.0,3.0,0.7371007371007376,408.0,403.1666666666667,5.670103092783507
2021-07-01,410.0,0.0,0.0,409.0,405.8333333333333,5.670103092783507
